Timestamp,Occupation,Age,Gender,State,image_5073,image_877,image_3422,image_4370,image_4148,image_2938,image_3666,image_101,image_4522,image_3835,image_3082,image_2260,image_253,image_4627,image_6401,image_3524,image_5416,image_4762,image_3969,image_4176
2021/04/06 10:55:00 AM GMT+5:30,Student,20,Male,GUJARAT,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like
2021/04/19 2:12:01 PM GMT+5:30,student,20,Male,UP,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike
2021/04/19 10:41:12 PM GMT+5:30,Student,20,Male,Not good ,Dislike,Like,Dislike,Dislike,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike
2021/04/20 4:03:11 PM GMT+5:30,Design engineer,28,Female,Telangana,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike
2021/04/22 7:20:56 PM GMT+5:30,-,22,Male,-,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like
2021/04/22 7:50:44 PM GMT+5:30,Software developer,22,Male,,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike
